#,Release Date,Title,Instructor,Price,Product Type,Tags,URL
726,2020-11-05,"Choke Artistry by Jeff Glover","Jeff Glover",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Jeff Glover, GTIN, MC_Submissions, New, SC_Submissions_Chokes, Show_More_App",https://bjjfanatics.com/products/choke-artistry-by-jeff-glover
727,2020-11-05,"Deep Half Guard Evolution by Jeff Glover","Jeff Glover",97.00,"COMBO","above-30, above-60, auto-best-seller, Facebook, featured-bestsellers, Fighter_Jeff Glover, GTIN, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App",https://bjjfanatics.com/products/deep-half-guard-evolution-by-jeff-glover
728,2020-11-05,"The Glover-Tine by Jeff Glover","Jeff Glover",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Jeff Glover, GTIN, MC_Submissions, New, SC_Submissions_Chokes, Show_More_App",https://bjjfanatics.com/products/the-glover-tine-by-jeff-glover
729,2020-11-05,"Dismantling The Side Mount by Jeff Glover","Jeff Glover",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Jeff Glover, GTIN, MC_Side_Control_Attacks, New, Show_More_App",https://bjjfanatics.com/products/dismantling-the-side-mount-by-jeff-glover
730,2020-11-05,"Clean Sweeps For No-Gi by Jeff Glover","Jeff Glover",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Jeff Glover, GTIN, MC_Guard, New, SC_Guard_Butterfly_Guard, SC_Guard_Closed_Guard, SC_Guard_De_La_Riva_Guard, SC_Guard_Half_Guard, Show_More_App",https://bjjfanatics.com/products/clean-sweeps-for-no-gi-by-jeff-glover
731,2020-11-05,"The Buchecha Side Control Game by Marcus ""Buchecha"" Almeida","Marcus Almeida",79.00,"COMBO","above-30, above-60, auto-best-seller, Facebook, featured-bestsellers, Fighter_Marcus Almeida, GTIN, Marcus Buchecha Almeida, MC_Side_Control_Attacks, New, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-buchecha-side-control-game-by-marcus-buchecha-almeida
732,2020-11-05,"Kidz Jiu-Jitsu Headlock Escapes by Firas Zahabi","Firas Zahabi",47.00,"COMBO","above-30, Facebook, Fighter_Firas Zahabi, GTIN, MC_Escapes, MC_Fundamentals, New, Show_More_App",https://bjjfanatics.com/products/kidz-jiu-jitsu-headlock-escapes-by-firas-zahabi
733,2020-11-05,"Modern Jiu-Jitsu For MMA by Neiman Gracie","Neiman Gracie",39.50,"COMBO","above-30, above-60, best_sellers_two_years, Daily Deal, Facebook, Fighter_Neiman Gracie, GTIN, MC_Guard, New, Show_More_App",https://bjjfanatics.com/products/modern-jiu-jitsu-for-mma-by-neiman-gracie
734,2020-11-05,"Effective Wrestling For Gi Jiu-Jitsu by Adam Wheeler","Adam Wheeler",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Adam Wheeler, GTIN, MC_Takedowns, New, SC_Takedowns_Gi_Takedowns, Show_More_App",https://bjjfanatics.com/products/effective-wrestling-for-gi-jiu-jitsu-by-adam-wheeler
735,2020-11-05,"The Progressive Guard For MMA by Fabricio Werdum","Fabricio Werdum",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Fabricio Werdum, GTIN, MC_Guard, New, Show_More_App",https://bjjfanatics.com/products/the-progressive-guard-for-mma-by-fabricio-werdum
736,2020-11-05,"The Complete Terere Game Beginner To Advanced by Fernando Terere","Fernando Terere",97.00,"COMBO","above-100, above-30, above-60, best_sellers_two_years, Facebook, Fighter_Fernando Terere, MC_Guard, MC_Guard_Passing, New, Show_More_App",https://bjjfanatics.com/products/then-complete-terere-game-beginner-to-advanced-by-fernando-terere
737,2020-11-05,"Precise Half Guard Passing by Lucas Lepri","Lucas Lepri",79.00,"COMBO","above-30, above-60, Facebook, Fighter_Lucas Lepri, GTIN, MC_Guard_Passing, New, Show_More_App",https://bjjfanatics.com/products/precise-half-guard-passing-by-lucas-lepri
738,2020-11-05,"Precise Side Control & Knee On Belly Attacks by Lucas Lepri","Lucas Lepri",79.00,"COMBO","above-30, above-60, Facebook, featured-bestsellers, Fighter_Lucas Lepri, GTIN, MC_Side_Control_Attacks, New, Show_More_App",https://bjjfanatics.com/products/precise-side-control-knee-on-belly-attacks-by-lucas-lepri
739,2020-11-05,"Leglocks Unlocked by Tum Energia","Tum Energia Voorn",79.00,"COMBO","above-30, above-60, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Tum Energia Voorn, GTIN, New, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/the-keys-to-leg-locks-by-tum-energia-voorn
740,2020-11-05,"The Berimbolo System Part 2: Crab Ride & Leg Drags by Mikey Musumeci","Mikey Musumeci",197.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, bestsellers-new, Facebook, featured-bestsellers, Fighter_Mikey Musumeci, GTIN, MC_Guard, New, SC_Guard_Berimbolo_Guard, SC_Guard_De_La_Riva_Guard, Show_More_App",https://bjjfanatics.com/products/the-berimbolo-system-part-2-by-mikey-musumeci
